t=2026-03-16T04:44:17-0300 lvl=info msg="no configuration paths supplied"
t=2026-03-16T04:44:17-0300 lvl=info msg="using configuration at default config path" path=C:\\Users\\Calixto\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-03-16T04:44:17-0300 lvl=info msg="open config file" path=C:\\Users\\Calixto\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-03-16T04:44:17-0300 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-03-16T04:44:17-0300 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-03-16T04:44:17-0300 lvl=info msg="client session established" obj=tunnels.session
t=2026-03-16T04:44:17-0300 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-03-16T04:47:22-0300 lvl=info msg="join connections" obj=join id=2632fa889428 l=[::1]:5173 r=[2804:56c:ff0d:4800:611e:552e:ef85:aa25]:58859
t=2026-03-16T04:47:22-0300 lvl=info msg="join connections" obj=join id=bd2cb7fc6ef7 l=[::1]:5173 r=[2804:56c:ff0d:4800:611e:552e:ef85:aa25]:58859
t=2026-03-16T04:47:22-0300 lvl=info msg="join connections" obj=join id=2abf95f96dab l=[::1]:5173 r=[2804:56c:ff0d:4800:611e:552e:ef85:aa25]:63819
t=2026-03-16T04:47:40-0300 lvl=info msg="join connections" obj=join id=e4b26cec6603 l=[::1]:5173 r=[2804:56c:ff0d:4800:611e:552e:ef85:aa25]:55839
t=2026-03-16T04:47:40-0300 lvl=info msg="join connections" obj=join id=701870bce130 l=[::1]:5173 r=[2804:56c:ff0d:4800:611e:552e:ef85:aa25]:55839
t=2026-03-16T04:47:40-0300 lvl=info msg="join connections" obj=join id=aea323ac19ae l=[::1]:5173 r=[2804:56c:ff0d:4800:611e:552e:ef85:aa25]:55839
t=2026-03-16T04:47:40-0300 lvl=info msg="join connections" obj=join id=2d92256569e3 l=[::1]:5173 r=[2804:56c:ff0d:4800:611e:552e:ef85:aa25]:55839
t=2026-03-16T04:47:40-0300 lvl=info msg="join connections" obj=join id=69583897d10b l=[::1]:5173 r=[2804:56c:ff0d:4800:611e:552e:ef85:aa25]:55839
t=2026-03-16T04:47:40-0300 lvl=info msg="join connections" obj=join id=6d8c01eae081 l=[::1]:5173 r=[2804:56c:ff0d:4800:611e:552e:ef85:aa25]:55839
t=2026-03-16T04:47:40-0300 lvl=info msg="join connections" obj=join id=2000f4f074fc l=[::1]:5173 r=[2804:56c:ff0d:4800:611e:552e:ef85:aa25]:55839
